"Województwa Voivodships","Liczba podmiotówa Number of entitiesa","ogó³em total","bie¿¹ce current","inwestycyjne capital"
Polska    Poland,5863,30284822.1,24962926.8,5321895.3
Dolnoœl¹skie,494,2368157.3,1998628.0,369529.3
Kujawsko-pomorskie,277,721465.5,585163.1,136302.4
Lubelskie,263,986480.2,783734.9,202745.3
Lubuskie,84,234965,162233.3,72731.7
£ódzkie,299,1359985.5,1172505.2,187480.3
Ma³opolskie,592,4132803.8,3326961.8,805842.0
Mazowieckie,1387,10889450.6,9067348.3,1822102.3
Opolskie,111,253236.4,211694.0,41542.4
Podkarpackie,323,1073231.6,743279.9,329951.7
Podlaskie,146,411742.7,332629.4,79113.3
Pomorskie,395,2287867.7,2049414.5,238453.2
Œl¹skie,662,2461333.6,2039360.1,421973.5
Œwiêtokrzyskie,105,280337.9,210975.1,69362.8
Warmiñsko-mazurskie,116,467558.6,276407.4,191151.2
Wielkopolskie,495,1847287.9,1610072.9,237215.0
Zachodniopomorskie,114,508917.8,392518.9,116398.9
